iter	Logloss
0	0.6675718444
1	0.6469117297
2	0.6290256318
3	0.6118948082
4	0.592636761
5	0.5760634767
6	0.5611371758
7	0.5482910599
8	0.5356204068
9	0.5227412559
10	0.511154675
11	0.4986834935
12	0.489071891
13	0.4789824467
14	0.4694196965
15	0.4614717031
16	0.4541462523
17	0.4474094737
18	0.4417056031
19	0.4349987294
20	0.4271892254
21	0.4205916267
22	0.4162345618
23	0.4109926925
24	0.4050498445
25	0.4008026024
26	0.3938247014
27	0.3902374565
28	0.3849240215
29	0.3822577094
30	0.3789065568
31	0.3754030134
32	0.3723804875
33	0.3698726253
34	0.3658990681
35	0.3628812046
36	0.3596608173
37	0.3561947953
38	0.3542725881
39	0.3531768431
40	0.3521170745
41	0.3488864801
42	0.3458715918
43	0.3438945829
44	0.3412751341
45	0.3391799336
46	0.3375358823
47	0.3350248341
48	0.3324552901
49	0.3306453047
50	0.3280115157
51	0.3258750169
52	0.3241245945
53	0.3221173929
54	0.3199025229
55	0.3179231875
56	0.3157386017
57	0.3133528972
58	0.312390583
59	0.3106380361
60	0.3090523046
61	0.3070574002
62	0.3053351298
63	0.3033556786
64	0.3018278003
65	0.3001447911
66	0.2984690529
67	0.2970606974
68	0.2951184835
69	0.2934838339
70	0.2921888657
71	0.2909100031
72	0.2890508756
73	0.2878520795
74	0.2865971881
75	0.2862320055
76	0.2846074882
77	0.2830962595
78	0.2821513763
79	0.280808088
80	0.2792287454
81	0.2776567141
82	0.2761458986
83	0.2753531993
84	0.2735021106
85	0.2724961939
86	0.2714232539
87	0.2704036633
88	0.2693209033
89	0.2682549286
90	0.2677500261
91	0.2669615403
92	0.2669331671
93	0.2656323113
94	0.2647417311
95	0.2636353607
96	0.2626393513
97	0.2612649042
98	0.2598001591
99	0.258999405
100	0.2584029664
101	0.2573842079
102	0.2568569245
103	0.2560853243
104	0.2551667518
105	0.2544996936
106	0.2537562741
107	0.2529340616
108	0.2519835764
109	0.2517604799
110	0.2510329266
111	0.2505313865
112	0.2491926379
113	0.2486689315
114	0.2480781119
115	0.2468147472
116	0.2450528689
117	0.2439250197
118	0.2432718425
119	0.242197038
120	0.2414349668
121	0.2404794504
122	0.2393253887
123	0.238304809
124	0.2375966384
125	0.2370331291
126	0.2362623053
127	0.2350115164
128	0.234522139
129	0.2336688092
130	0.2329473594
131	0.2323909734
132	0.2312828428
133	0.2305984476
134	0.2293680847
135	0.2282267578
136	0.2274753283
137	0.2269230244
138	0.226045874
139	0.2253186186
140	0.2246990097
141	0.2235163099
142	0.2228175292
143	0.2224321342
144	0.2215186609
145	0.2209779279
146	0.2200268164
147	0.2193443702
148	0.2186618917
149	0.2181177446
150	0.217489879
151	0.2171165519
152	0.2165244086
153	0.2156046977
154	0.2150684368
155	0.213919546
156	0.2130679665
157	0.212259699
158	0.2118669667
159	0.2108780337
160	0.2101685202
161	0.2095051359
162	0.2089731616
163	0.2079499181
164	0.2071502873
165	0.2061760076
166	0.2055012108
167	0.2050139439
168	0.2042842678
169	0.2038361539
170	0.2029928788
171	0.2027939488
172	0.2024113536
173	0.2021651566
174	0.2015126226
175	0.2012162142
176	0.200571164
177	0.1999974399
178	0.1995091748
179	0.1992184342
180	0.1985523696
181	0.1980980003
182	0.1976848598
183	0.1970535185
184	0.1967930975
185	0.1962040028
186	0.1958840837
187	0.1946117166
188	0.1940503888
189	0.1935977202
190	0.1929302762
191	0.1924806717
192	0.1919770599
193	0.1916323789
194	0.1909730266
195	0.1903348041
196	0.1893179071
197	0.1884176794
198	0.1877494607
199	0.1875330772
200	0.1872100417
201	0.1867288411
202	0.1862861077
203	0.1857123892
204	0.1850086274
205	0.1843801903
206	0.1839637795
207	0.1832516256
208	0.1828687292
209	0.1824195031
210	0.1818062225
211	0.181284025
212	0.1806402646
213	0.1804039191
214	0.1802578075
215	0.1797646496
216	0.179388651
217	0.1787967752
218	0.178212916
219	0.1776989086
220	0.1770376653
221	0.1765758652
222	0.1760440313
223	0.1755524721
224	0.1748354616
225	0.1743748773
226	0.1739767093
227	0.1734534509
228	0.1730025923
229	0.1724434116
230	0.1720215742
231	0.1714897687
232	0.1710391652
233	0.1705411468
234	0.1703785518
235	0.1699716837
236	0.169471687
237	0.1693229503
238	0.1686006174
239	0.1681992519
240	0.1675781159
241	0.167133302
242	0.16684349
243	0.1665234211
244	0.1660508397
245	0.1658977643
246	0.1655794625
247	0.1653492442
248	0.1649590207
249	0.1647966783
250	0.164259278
251	0.1637643
252	0.1635596422
253	0.1631304797
254	0.1626936325
255	0.1620513519
256	0.1615760215
257	0.1610566971
258	0.160654975
259	0.1600181886
260	0.1595729871
261	0.1589834405
262	0.1586588071
263	0.1580521648
264	0.1576282706
265	0.1572228386
266	0.1568020582
267	0.1565565788
268	0.1560052945
269	0.155166493
270	0.1548436556
271	0.1544576568
272	0.1541553213
273	0.1533631815
274	0.1527620024
275	0.1523438882
276	0.1518466078
277	0.151243252
278	0.1510487205
279	0.1509352605
280	0.1506167569
281	0.1503379492
282	0.1497802826
283	0.1494368097
284	0.1492261277
285	0.1486223261
286	0.148099694
287	0.1477561544
288	0.147317925
289	0.1470764082
290	0.1468360595
291	0.1465288324
292	0.1460571802
293	0.1455967218
294	0.1451845363
295	0.1449749938
296	0.144462703
297	0.1443206015
298	0.1437848228
299	0.1433218297
300	0.1429086325
301	0.1425157549
302	0.1421600254
303	0.1418553424
304	0.1413926617
305	0.1409778367
306	0.140620992
307	0.1401942621
308	0.1400338742
309	0.1397953003
310	0.1395597292
311	0.1391995345
312	0.1387766655
313	0.1383257924
314	0.1380116499
315	0.137571032
316	0.1373337651
317	0.1369511564
318	0.1366042834
319	0.1361383306
320	0.1357826399
321	0.1355585887
322	0.1352080171
323	0.1349002534
